"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 10:13:39 IST 2024","Fri Aug 09 10:13:59 IST 2024","20242","","","","","","Test the inline video -- @1.7 ",""
"passed","Fri Aug 09 10:26:06 IST 2024","Fri Aug 09 10:27:08 IST 2024","61882","","","","","","Test the sleek player on Series page -- @1.11 ",""
"passed","Fri Aug 09 10:08:05 IST 2024","Fri Aug 09 10:08:43 IST 2024","37910","","","","","","Test the video on home page -- @1.4 ",""
"passed","Fri Aug 09 10:09:48 IST 2024","Fri Aug 09 10:10:21 IST 2024","33398","","","","","","Test the video on home page -- @1.7 ",""
"passed","Fri Aug 09 10:12:41 IST 2024","Fri Aug 09 10:12:58 IST 2024","16550","","","","","","Test the inline video -- @1.4 ",""
"passed","Fri Aug 09 10:09:15 IST 2024","Fri Aug 09 10:09:48 IST 2024","32447","","","","","","Test the video on home page -- @1.6 ",""
"passed","Fri Aug 09 10:12:00 IST 2024","Fri Aug 09 10:12:22 IST 2024","22382","","","","","","Test the inline video -- @1.2 ",""
"passed","Fri Aug 09 10:44:49 IST 2024","Fri Aug 09 10:45:18 IST 2024","29724","","","","","","Test The Popup Video -- @1.6 ",""
"passed","Fri Aug 09 10:33:18 IST 2024","Fri Aug 09 10:34:06 IST 2024","47850","","","","","","Test The Reels -- @1.3 ",""
"passed","Fri Aug 09 10:46:59 IST 2024","Fri Aug 09 10:47:31 IST 2024","31633","","","","","","Test The Popup Video -- @1.10 ",""
"passed","Fri Aug 09 10:37:32 IST 2024","Fri Aug 09 10:38:00 IST 2024","28698","","","","","","Test The Inline Video -- @1.2 ",""
"passed","Fri Aug 09 10:38:25 IST 2024","Fri Aug 09 10:38:55 IST 2024","30327","","","","","","Test The Inline Video -- @1.4 ",""
"passed","Fri Aug 09 10:12:22 IST 2024","Fri Aug 09 10:12:41 IST 2024","19052","","","","","","Test the inline video -- @1.3 ",""
"passed","Fri Aug 09 10:40:34 IST 2024","Fri Aug 09 10:41:00 IST 2024","25997","","","","","","Test The Inline Video -- @1.8 ",""
"passed","Fri Aug 09 10:38:00 IST 2024","Fri Aug 09 10:38:25 IST 2024","24871","","","","","","Test The Inline Video -- @1.3 ",""
"passed","Fri Aug 09 10:19:44 IST 2024","Fri Aug 09 10:20:45 IST 2024","60598","","","","","","Test the sleek player on Series page -- @1.5 ",""
"passed","Fri Aug 09 10:13:59 IST 2024","Fri Aug 09 10:14:19 IST 2024","19625","","","","","","Test the inline video -- @1.8 ",""
"passed","Fri Aug 09 10:37:02 IST 2024","Fri Aug 09 10:37:32 IST 2024","29947","","","","","","Test The Inline Video -- @1.1 ",""
"passed","Fri Aug 09 10:29:36 IST 2024","Fri Aug 09 10:30:05 IST 2024","29217","","","","","","Test the sleek player in reels on Bites page -- @1.3 ",""
"passed","Fri Aug 09 10:38:55 IST 2024","Fri Aug 09 10:39:21 IST 2024","25442","","","","","","Test The Inline Video -- @1.5 ",""
"passed","Fri Aug 09 10:24:03 IST 2024","Fri Aug 09 10:25:05 IST 2024","61681","","","","","","Test the sleek player on Series page -- @1.9 ",""
"passed","Fri Aug 09 10:41:00 IST 2024","Fri Aug 09 10:41:29 IST 2024","28244","","","","","","Test The Inline Video -- @1.9 ",""
"passed","Fri Aug 09 10:18:10 IST 2024","Fri Aug 09 10:19:44 IST 2024","93811","","","","","","Test the sleek player on Series page -- @1.4 ",""
"passed","Fri Aug 09 10:07:34 IST 2024","Fri Aug 09 10:08:05 IST 2024","30792","","","","","","Test the video on home page -- @1.3 ",""
"passed","Fri Aug 09 10:32:26 IST 2024","Fri Aug 09 10:33:18 IST 2024","52485","","","","","","Test The Reels -- @1.2 ",""
"passed","Fri Aug 09 10:39:47 IST 2024","Fri Aug 09 10:40:34 IST 2024","46901","","","","","","Test The Inline Video -- @1.7 ",""
